file_number,object_def_description,licence_number,application_status,latitude,longitude,premises_name,street_address,city,province,postal_code,address,public_notice_deadline,is_latest_version,licence_status,application_type,licence_type_en,application_status_fr,areas,address_id
927696,NA,CRSA1189158,Authorized to Open,43.6479486927406,-79.3999857367419,Tokyo Smoke,545 QUEEN ST W,TORONTO,ON,M5V2B6,"545 QUEEN ST W, TORONTO, ON, M5V2B6",8/12/2020 12:00:00 AM,Y,Expired - Deemed to Continue,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,44598002
927697,NA,CRSA1193321,Authorized to Open,43.8947100070746,-78.8781699812404,Tokyo Smoke,400 KING ST W UNIT 7,OSHAWA,ON,L1J2J9,"400 KING ST W UNIT 7, OSHAWA, ON, L1J2J9",12/17/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,70825487
927699,NA,CRSA1193322,Authorized to Open,48.3808125194766,-89.293239,TOKYO SMOKE,572 ARTHUR ST W UNIT 5,THUNDER BAY,ON,P7E5R7,"572 ARTHUR ST W UNIT 5, THUNDER BAY, ON, P7E5R7",12/2/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,64498255
937001,NA,CRSA1172457,Authorized to Open,43.6512967965549,-79.3788313605515,City Cannabis Co,146 YONGE ST,TORONTO,ON,M5C1X6,"146 YONGE ST, TORONTO, ON, M5C1X6",6/18/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,43894867
937655,NA,CRSA1172739,Authorized to Open,44.4070035063034,-76.0182124364186,VILLAGE BUD,1136 PRINCE STREET,LANSDOWNE,ON,K0E 1L0,"1136 PRINCE STREET, LANSDOWNE, ON, K0E 1L0",6/10/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,64527742
938902,NA,CRSA1195557,Authorized to Open,43.7042499909663,-79.4111400001734,Cann6ix,424 EGLINTON AVE W,TORONTO,ON,M5N1A2,"424 EGLINTON AVE W, TORONTO, ON, M5N1A2",12/11/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,71878904
938908,NA,CRSA1172576,Authorized to Open,43.2588168737375,-79.876644014975,420Love,246-248 KING STREET WEST,HAMILTON,ON,L8P1A9,"246-248 KING STREET WEST, HAMILTON, ON, L8P1A9",5/19/2020 12:00:00 AM,Y,Expired - Deemed to Continue,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,64509868
940057,NA,CRSA1172634,Authorized to Open,43.6582987896989,-79.4414218055468,SHIVAA’S ROSE,457 SAINT CLARENS AVE,TORONTO,ON,M6H3W2,"457 SAINT CLARENS AVE, TORONTO, ON, M6H3W2",5/27/2020 12:00:00 AM,Y,Expired - Deemed to Continue,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,67245525
940058,NA,CRSA1197452,Authorized to Open,43.6587800102582,-79.351409971412,Blunted Aisle,668 QUEEN ST E,TORONTO,ON,M4M1G8,"668 QUEEN ST E, TORONTO, ON, M4M1G8",1/8/2021 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,75413650
940238,NA,CRSA1172422,Authorized to Open,43.6757563716412,-79.4024467264808,Davenport Leaf,139 DUPONT ST,TORONTO,ON,M5R1V4,"139 DUPONT ST, TORONTO, ON, M5R1V4",5/6/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,64494500
940679,NA,CRSA1175562,Authorized to Open,43.1633121124127,-79.2590335259393,CANNABIS & MORE,230 ONTARIO ST,ST CATHARINES,ON,L2R5L1,"230 ONTARIO ST, ST CATHARINES, ON, L2R5L1",7/8/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,24159851
941431,NA,CRSA1173075,Authorized to Open,43.6187633641869,-79.5102428426624,Tokyo Smoke,164 EVANS AVE UNIT 1,ETOBICOKE,ON,M8Z1J4,"164 EVANS AVE UNIT 1, ETOBICOKE, ON, M8Z1J4",8/22/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,64595202
941773,NA,CRSA1172480,Authorized to Open,43.1818417987536,-80.2812049784809,TOKYO SMOKE BRANTFORD COMMONS,300 KING GEORGE RD UNIT K5,BRANTFORD,ON,N3R7Y8,"300 KING GEORGE RD UNIT K5, BRANTFORD, ON, N3R7Y8",5/1/2020 12:00:00 AM,Y,Expired - Deemed to Continue,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,68403067
941839,NA,CRSA1201903,Authorized to Open,42.3283591762651,-82.969943510416,Endless Heights Cannabis Shop,5540 WYANDOTTE ST E,WINDSOR,ON,N8S1M1,"5540 WYANDOTTE ST E, WINDSOR, ON, N8S1M1",3/31/2021 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,43954587
942520,NA,CRSA1193323,Authorized to Open,42.2736209581652,-83.0046557477699,Tokyo Smoke,3100 HOWARD AVE UNIT T19A,WINDSOR,ON,N8X3Y8,"3100 HOWARD AVE UNIT T19A, WINDSOR , ON , N8X3Y8",11/20/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,75088972
943105,NA,CRSA1172364,Authorized to Open,43.6812341795833,-79.4284759848808,Edition X,764 ST CLAIR AVE W,TORONTO,ON,M6C1B5,"764 ST CLAIR AVE W, TORONTO, ON, M6C1B5",6/20/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,64489344
943838,NA,CRSA1172474,Authorized to Open,43.7749930858096,-79.4693253963586,SESSIONS CANNABIS NORTH YORK,4700 DUFFERIN ST UNIT 3,NORTH YORK,ON,M3H5S7,"4700 DUFFERIN ST UNIT 3, NORTH YORK, ON, M3H5S7",5/6/2020 12:00:00 AM,Y,Expired - Deemed to Continue,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,43922239
944502,NA,CRSA1172702,Authorized to Open,43.5188394422504,-80.2351362761003,Fire & Flower Cannabis Co.,314 STONE RD W,GUELPH,ON,N1G3C4,"314 STONE RD W, GUELPH, ON, N1G3C4",4/19/2020 12:00:00 AM,Y,Expired - Deemed to Continue,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,66237213
944858,NA,CRSA1172547,Authorized to Open,42.2834945856367,-83.0554808924061,THE WE STORE,1800 HURON CHURCH RD UNIT B,WINDSOR,ON,N9C2L5,"1800 HURON CHURCH RD UNIT B, WINDSOR, ON, N9C2L5",4/15/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,64506755
945249,NA,CRSA1172557,Authorized to Open,43.4672314263085,-80.5229645109929,SWEET SEVEN CANNABIS CO.,71 KING ST N UNIT A,WATERLOO,ON,N2J2X2,"71 KING ST N UNIT A, WATERLOO, ON, N2J2X2",4/9/2020 12:00:00 AM,Y,Expired - Deemed to Continue,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,65927880
946670,NA,CRSA1172569,Authorized to Open,43.6504527876681,-79.388197281984,Toronto Cannabis Authority,229 QUEEN ST W,TORONTO,ON,M5V1Z4,"229 QUEEN ST W, TORONTO, ON, M5V1Z4",5/20/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,6036376
946691,NA,CRSA1172663,Authorized to Open,43.1911999840248,-79.8114099911467,Sessions Cannabis Stoney Creek,1786 STONE CHURCH RD E,STONEY CREEK,ON,L8W0B4,"1786 STONE CHURCH RD E, STONEY CREEK, ON, L8W0B4",5/2/2020 12:00:00 AM,Y,Expired - Deemed to Continue,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,68985626
946694,NA,CRSA1172514,Authorized to Open,45.3627464676555,-75.7332133767386,Stash & Co,1445 MERIVALE ROAD,NEPEAN,ON,K2E5N9,"1445 MERIVALE ROAD, NEPEAN, ON, K2E5N9",4/20/2020 12:00:00 AM,Y,Expired - Deemed to Continue,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,66201581
946716,NA,CRSA1172760,Authorized to Open,43.6655375187546,-79.4729420255352,Best Buds Forever,3096 DUNDAS ST W,TORONTO,ON,M6P1Z8,"3096 DUNDAS ST W, TORONTO, ON, M6P1Z8",5/6/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,44548459
946721,NA,CRSA1172691,Authorized to Open,48.4307199895525,-89.2313299836737,HIGH SOCIETY,210 ALGOMA ST S SUITE 101A,THUNDER BAY,ON,P7B 3C2,"210 ALGOMA ST S SUITE 101A, THUNDER BAY , ON, P7B 3C2",4/4/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,79869746
946725,NA,CRSA1172792,Authorized to Open,45.3104926739298,-75.9117123158617,Tokyo Smoke Kanata Centrum,300 EARL GREY DR UNIT A18,KANATA,ON,K2T1B8,"300 EARL GREY DR UNIT A18, KANATA, ON, K2T1B8",6/12/2020 12:00:00 AM,Y,Expired - Deemed to Continue,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,67620707
946753,NA,CRSA1172669,Authorized to Open,42.3930166466618,-82.1727576436607,PLUTO PLANTS,598 QUEEN ST,CHATHAM,ON,N7M2J8,"598 QUEEN ST, CHATHAM, ON, N7M2J8",4/3/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,64520146
946804,NA,CRSA1172756,Authorized to Open,43.6532979,-79.3735043,IPOT,141 QUEEN ST E,TORONTO,ON,M5C1S1,"141 QUEEN ST E, TORONTO, ON, M5C1S1",4/16/2020 12:00:00 AM,Y,Expired - Deemed to Continue,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,31298909
946828,NA,CRSA1232918,Authorized to Open,42.3057758961833,-83.0605498224782,Harvest Bud Cannabis,2155 WYANDOTTE ST W SUITE B,WINDSOR,ON,N9B1K1,"2155 WYANDOTTE ST W SUITE B, WINDSOR, ON, N9B1K1",3/9/2022 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,52515523
946883,NA,CRSA1172761,Authorized to Open,43.6479902745108,-79.4001152560447,Best Buds Forever,474 QUEEN ST W,TORONTO,ON,M5V2B2,"474 QUEEN ST W, TORONTO, ON, M5V2B2",5/15/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,44550453
946895,NA,CRSA1172765,Authorized to Open,43.1910466466618,-79.8437870234873,Chronicles Cannabis,1575 UPPER OTTAWA ST UNIT 8,HAMILTON,ON,L8W3E2,"1575 UPPER OTTAWA ST UNIT 8, HAMILTON, ON, L8W3E2",6/12/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,64530137
946923,NA,CRSA1172762,Authorized to Open,43.7177391825238,-79.5969332521282,Best Buds Forever,500 REXDALE BLVD UNIT N008,ETOBICOKE,ON,M9W6K5,"500 REXDALE BLVD UNIT N008, ETOBICOKE, ON, M9W6K5",5/6/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,44544746
946967,NA,CRSA1172764,Authorized to Open,44.4981031631367,-80.2164201952004,BEST BUDS FOREVER,191 HURONTARIO ST SUITE 1,COLLINGWOOD,ON,L9Y2M1,"191 HURONTARIO ST SUITE 1, COLLINGWOOD, ON, L9Y2M1",5/6/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,44544738
946995,NA,CRSA1172782,Authorized to Open,43.0955200144535,-79.0849599983007,ON THE RIDGE CO. CANNABIS,5440 STANLEY AVE UNIT 2,NIAGARA FALLS,ON,L2G3X1,"5440 STANLEY AVE UNIT 2, NIAGARA FALLS, ON, L2G3X1",7/17/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,70945461
947181,NA,CRSA1199278,Authorized to Open,43.211145049397,-79.835416980957,The Haze Co.,969 UPPER OTTAWA ST UNIT 6,HAMILTON,ON,L8T4V9,"969 UPPER OTTAWA ST UNIT 6, HAMILTON, ON, L8T4V9",1/30/2021 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,44113874
947436,NA,CRSA1173073,Authorized to Open,43.2570309369843,-79.8765464068901,Giggles Cannabis,163 MAIN ST W,HAMILTON,ON,L8P1J1,"163 MAIN ST W, HAMILTON, ON, L8P1J1",5/27/2020 12:00:00 AM,Y,Expired - Deemed to Continue,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,59092
947642,NA,CRSA1173356,Authorized to Open,45.2776717962378,-75.7487968407874,Ouid,34 HIGHBURY PARK DR,NEPEAN,ON,K2J6K8,"34 HIGHBURY PARK DR, NEPEAN, ON, K2J6K8",8/5/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,64652805
948162,NA,CRSA1179346,Authorized to Open,43.6532471451613,-79.4000586028047,HOT BUDS,25 KENSINGTON AVE,TORONTO,ON,M5T2J8,"25 KENSINGTON AVE, TORONTO, ON, M5T2J8",9/5/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,44344762
948300,NA,CRSA1189852,Authorized to Open,45.3063291475396,-79.8942938974505,Giggle Leaf,1 HORSESHOE LAKE ROAD,PARRY SOUND,ON,P2A2W8,"1 HORSESHOE LAKE ROAD, PARRY SOUND, ON, P2A2W8",9/29/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,24107123
949210,NA,CRSA1174901,Authorized to Open,43.7034200149139,-79.7570499962927,Dab Cannabis,227 VODDEN ST E UNIT 15,BRAMPTON,ON,L6V1N2,"227 VODDEN ST E UNIT 15, BRAMPTON, ON, L6V1N2",6/16/2020 12:00:00 AM,Y,Expired - Deemed to Continue,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,77450498
950607,NA,CRSA1191422,Authorized to Open,42.9502400071129,-79.8548000025818,Forty3Eighty Cannabis Co.,"5 TALBOT STREET EAST, UNIT 1",CAYUGA,ON,N0A 1E0,"5 TALBOT STREET EAST, UNIT 1, CAYUGA, ON, N0A 1E0",10/14/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,70020781
951271,NA,CRSA1175952,Authorized to Open,44.3513775523399,-78.3002393405849,KAWARTHA LEAFS,1535 WATER ST UNIT 2,PETERBOROUGH,ON,K9H0C6,"1535 WATER ST UNIT 2, PETERBOROUGH, ON, K9H0C6",10/28/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,52596186
951424,NA,CRSA1178632,Authorized to Open,43.2520370785389,-79.9396510722778,The Treehouse Cannabis Company,1845 MAIN ST W,HAMILTON,ON,L8S1J2,"1845 MAIN ST W, HAMILTON, ON, L8S1J2",5/28/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,66052984
952106,NA,CRSA1190724,Authorized to Open,43.6478899901956,-79.390929974332,Century Cannabis,288 ADELAIDE ST. W.,TORONTO,ONTARIO,M5V0P3,"288 ADELAIDE ST. W. , TORONTO, ONTARIO, M5V0P3",10/30/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,70878501
954573,NA,CRSA1207206,Authorized to Open,43.7803600187322,-79.2980500214259,Cannabis Hut Ltd.,2254 BIRCHMOUNT RD,SCARBOROUGH,ON,M1T2M2,"2254 BIRCHMOUNT RD, SCARBOROUGH, ON, M1T2M2",6/23/2021 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,82043083
956495,NA,CRSA1177902,Authorized to Open,43.7347040946104,-79.257435779618,CANNAVERSE,2555 EGLINTON AVE E UNIT 8,SCARBOROUGH,ON,M1K5J1,"2555 EGLINTON AVE E UNIT 8, SCARBOROUGH, ON, M1K5J1",6/24/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,67960005
959495,NA,CRSA1195395,Authorized to Open,44.2375599798921,-76.5668200312959,THE HERBARY,1650 BATH RD,KINGSTON,ON,K7M4X6,"1650 BATH RD, KINGSTON, ON, K7M4X6",12/25/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,71773334
959765,NA,CRSA1187152,Authorized to Open,45.2837659266889,-75.8658161745365,Athena Cannabis,782 EAGLESON RD UNIT D4,OTTAWA,ON,K2M 0N2,"782 EAGLESON RD UNIT D4, OTTAWA, ON, K2M 0N2",9/23/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,71056848
960387,NA,CRSA1194382,Authorized to Open,43.4457000035074,-80.5719200151842,Tokyo Smoke,"655 ERB STREET WEST, UNIT 665-500",WATERLOO,ON,N2J 3Z4,"655 ERB STREET WEST, UNIT 665-500, WATERLOO, ON, N2J 3Z4",10/17/2020 12:00:00 AM,Y,Expired - Deemed to Continue,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,71305587
961551,NA,CRSA1186850,Authorized to Open,44.0072899889235,-79.47000996185,Nature's Haze,15570 YONGE ST UNIT 8,AURORA,ON,L4G1P2,"15570 YONGE ST UNIT 8, AURORA, ON, L4G1P2",7/31/2020 12:00:00 AM,Y,Expired - Deemed to Continue,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,69134824
965072,NA,CRSA1189317,Authorized to Open,43.6593599960484,-79.3468399901627,Spiritleaf,781 QUEEN ST E,TORONTO,ON,M4M1H5,"781 QUEEN ST E, TORONTO, ON, M4M1H5",11/15/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,68839194
968279,NA,CRSA1178507,Authorized to Open,43.7587346877776,-79.5698692167753,Club Canapa Cannabis,2 SATTERLY RD,NORTH YORK,ON,M9L1E8,"2 SATTERLY RD, NORTH YORK, ON, M9L1E8",6/30/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,24153231
973592,NA,CRSA1202548,Authorized to Open,43.0306999911697,-81.2227000301809,Tree Tops Cannabis Co.,1255 KILALLY RD. UNIT 106,LONDON,ON,N5Y 0B7,"1255 KILALLY RD. UNIT 106 , LONDON, ON , N5Y 0B7",4/17/2021 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,80215730
978641,NA,CRSA1178467,Authorized to Open,43.4670500100902,-80.5224900043209,Uptown Herb,56 KING ST N. UNIT 3,WATERLOO,ON,N2J2X1,"56 KING ST N. UNIT 3, WATERLOO, ON, N2J2X1",10/30/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,75392541
978649,NA,CRSA1178469,Authorized to Open,43.2549798995326,-79.8858965989669,CABBAGE BROTHERS,192 LOCKE ST S,HAMILTON,ON,L8P4B4,"192 LOCKE ST S, HAMILTON, ON, L8P4B4",8/15/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,142496
981304,NA,CRSA1187480,Authorized to Open,42.2867527857349,-83.0128380635926,Royal Blunt Cannabis,2615 HOWARD AVE UNIT 5,WINDSOR,ON,N8X3W7,"2615 HOWARD AVE UNIT 5, WINDSOR, ON, N8X3W7",11/14/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,68017010
983021,NA,CRSA1202416,Authorized to Open,43.6184400057506,-80.1431300119232,GreenSpace Co,126 MAIN ST S,ROCKWOOD,ON,N0B2K0,"126 MAIN ST S, ROCKWOOD, ON, N0B2K0",3/30/2021 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,78388878
983469,NA,CRSA1178806,Authorized to Open,43.1306793799699,-80.7527539067459,Woodstock Cannabis Co,579 DUNDAS ST,WOODSTOCK,ON,N4S1C9,"579 DUNDAS ST, WOODSTOCK, ON, N4S1C9",5/28/2020 12:00:00 AM,Y,Expired - Deemed to Continue,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,66219932
985073,NA,CRSA1178907,Authorized to Open,42.2931984604707,-82.7093880524554,10 Seventeen,571 NOTRE DAME STREET  SUITE A,BELLE RIVER,ON,N0R1A0,"571 NOTRE DAME STREET  SUITE A, BELLE RIVER, ON, N0R1A0",5/19/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,66276203
989372,NA,CRSA1179173,Authorized to Open,43.6592068859139,-79.3482353701022,CIVILIAN HOUSE OF CANNABIS,745 QUEEN ST E,TORONTO,ON,M4M1H3,"745 QUEEN ST E, TORONTO, ON, M4M1H3",6/26/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,66562216
989570,NA,CRSA1192872,Authorized to Open,44.7502999821446,-79.8862700256921,TOKE,262 KING ST,MIDLAND,ON,L4R3M3,"262 KING ST, MIDLAND, ON, L4R3M3",9/29/2020 12:00:00 AM,Y,Expired - Deemed to Continue,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,70657771
989711,NA,CRSA1179570,Authorized to Open,44.0072800144587,-79.4688000341266,CANNAERA,15543 YONGE ST UNIT 1,AURORA,ON,L4G1P3,"15543 YONGE ST UNIT 1, AURORA, ON, L4G1P3",12/11/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,71924751
990422,NA,CRSA1179227,Authorized to Open,43.8675368134518,-79.0393511871339,The 6ix Cannabis,475 WESTNEY RD N UNIT 13,AJAX,ON,L1T3H4,"475 WESTNEY RD N UNIT 13, AJAX, ON, L1T3H4",7/18/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,66578520
994171,NA,CRSA1200943,Authorized to Open,45.3515223141843,-80.0361109986437,Windswept Cannabis,78 CHURCH ST,PARRY SOUND,ON,P2A1Z1,"78 CHURCH ST, PARRY SOUND, ON, P2A1Z1",2/22/2021 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,66809130
995358,NA,CRSA1179615,Authorized to Open,45.4051957801663,-75.723238358157,TOKYO SMOKE WELLINGTON ST,1000 WELLINGTON ST W UNIT 101,OTTAWA,ON,K1Y2X9,"1000 WELLINGTON ST W UNIT 101, OTTAWA, ON, K1Y2X9",1/1/1900 12:00:00 AM,Y,Expired - Deemed to Continue,Change Application  - Legal Entity Change - Cannabis,Cannabis Retail Store Authorization,Autorisè à ouvrir,NA,46640981
